Name,Type,Mana Cost,Power,Toughness,Text
Tomakul Scrapsmith,Creature — Human Artificer,{2}{R},2,1,"When Tomakul Scrapsmith enters the battlefield, mill three cards. You may put an artifact card from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on Tomakul Scrapsmith. (To mill a card, put the top card of your library into your graveyard.)"
Tyrant of Kher Ridges,Creature — Dragon,{4}{R}{R},4,5,"Flying
When Tyrant of Kher Ridges enters the battlefield, it deals 4 damage to any target.
{R}: Tyrant of Kher Ridges gets +1/+0 until end of turn."
Unleash Shell,Instant,{3}{R}{R},,,Unleash Shell deals 5 damage to target creature or planeswalker and 2 damage to that permanent's controller.
Visions of Phyrexia,Enchantment,{2}{R}{R},,,"At the beginning of your upkeep, exile the top card of your library. You may play that card this turn.
At the beginning of your end step, if you didn't play a card from exile this turn, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Whirling Strike,Instant,{1}{R},,,Target creature gets +2/+0 and gains first strike and trample until end of turn.
Blitz Automaton,Artifact Creature — Construct,{7},6,4,"Prototype {2}{R} — 3/2 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Haste"
Fallaji Dragon Engine,Artifact Creature — Dragon,{8},5,5,"Prototype {2}{R} — 1/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Flying
{2}: Fallaji Dragon Engine gets +1/+0 until end of turn."
Heavyweight Demolisher,Artifact Creature — Construct,{7},8,6,"Menace
At the beginning of your upkeep, tap Heavyweight Demolisher unless you pay {3}.
Unearth {6}{R}{R} ({6}{R}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Mishra's Juggernaut,Artifact Creature — Juggernaut,{5},5,3,"Trample
Mishra's Juggernaut attacks each combat if able.
Unearth {5}{R} ({5}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Mishra's Research Desk,Artifact,{1},,,"{1}, {T}, Sacrifice Mishra's Research Desk: Exile the top two cards of your library. Choose one of them. Until the end of your next turn, you may play that card.
Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
"Phyrexian Dragon Engine // Mishra, Lost to Phyrexia",Artifact Creature — Phyrexian Dragon,{3},2,2,"Double strike
When Phyrexian Dragon Engine enters the battlefield from your graveyard, you may discard your hand. If you do, draw three cards.
Unearth {3}{R}{R}
(Melds with Mishra, Claimed by Gix.)"
"Mishra, Lost to Phyrexia",Legendary Artifact Creature — Phyrexian Artificer,,9,9,"Whenever Mishra, Lost to Phyrexia enters the battlefield or attacks, choose three —
• Target opponent discards two cards.
• Mishra deals 3 damage to any target.
• Destroy target artifact or planeswalker.
• Creatures you control gain menace and trample until end of turn.
• Creatures you don't control get -1/-1 until end of turn.
• Create two tapped Powerstone tokens."
Scrapwork Mutt,Artifact Creature — Dog,{2},2,1,"When Scrapwork Mutt enters the battlefield, you may discard a card. If you do, draw a card.
Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Skitterbeam Battalion,Artifact Creature — Construct,{9},4,4,"Prototype {3}{R}{R} — 2/2 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Trample, haste
When Skitterbeam Battalion enters the battlefield, if you cast it, create two tokens that are copies of it."
Alloy Animist,Creature — Human Druid,{G},1,1,"{2}{G}: Until end of turn, target noncreature artifact you control becomes a 4/4 artifact creature."
Argothian Opportunist,Creature — Human Scout,{2}{G},3,2,"When Argothian Opportunist enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Argothian Sprite,Creature — Faerie,{1}{G},2,2,"Argothian Sprite can't be blocked by artifact creatures.
{7}: Put two +1/+1 counters on Argothian Sprite."
Audacity,Enchantment — Aura,{G},,,"Enchant creature
Enchanted creature gets +2/+0 and has trample.
When Audacity is put into a graveyard from the battlefield, draw a card."
Awaken the Woods,Sorcery,{X}{G}{G},,,Create X 1/1 green Forest Dryad land creature tokens. (They're affected by summoning sickness.)
Blanchwood Armor,Enchantment — Aura,{2}{G},,,"Enchant creature
Enchanted creature gets +1/+1 for each Forest you control."
Blanchwood Prowler,Creature — Elemental,{1}{G},1,1,"When Blanchwood Prowler enters the battlefield, mill three cards. You may put a land card from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on Blanchwood Prowler. (To mill a card, put the top card of your library into your graveyard.)"
Burrowing Razormaw,Creature — Beast,{2}{G},4,2,"When Burrowing Razormaw dies, mill four cards. (Put the top four cards of your library into your graveyard.)"
Bushwhack,Sorcery,{G},,,"Choose one —
• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)"
Citanul Stalwart,Creature — Elf Druid Soldier,{G},1,1,"{T}, Tap an untapped artifact or creature you control: Add one mana of any color."
Epic Confrontation,Sorcery,{1}{G},,,Target creature you control gets +1/+2 until end of turn. It fights target creature you don't control. (Each deals damage equal to its power to the other.)
Fade from History,Sorcery,{2}{G}{G},,,Each player who controls an artifact or enchantment creates a 2/2 green Bear creature token. Then destroy all artifacts and enchantments.
Fallaji Excavation,Sorcery,{3}{G}{G},,,"Create three tapped Powerstone tokens. You gain 3 life. (The tokens are artifacts with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Fauna Shaman,Creature — Elf Shaman,{1}{G},2,2,"{G}, {T}, Discard a creature card: Search your library for a creature card, reveal it, put it into your hand, then shuffle."
Fog of War,Instant,{2}{G},,,You gain 1 life for each creature on the battlefield. Prevent all combat damage that would be dealt this turn by creatures with power 3 or less.
Gaea's Courser,Creature — Centaur Soldier,{4}{G},4,5,"Whenever Gaea's Courser attacks, if there are three or more creature cards in your graveyard, draw a card."
Gaea's Gift,Instant,{1}{G},,,"Put a +1/+1 counter on target creature you control. It gains reach, trample, hexproof, and indestructible until end of turn. (It can't be the target of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy it.)"
Giant Growth,Instant,{G},,,Target creature gets +3/+3 until end of turn.
Gnarlroot Pallbearer,Creature — Treefolk Druid,{4}{G}{G},5,5,"Trample
When Gnarlroot Pallbearer enters the battlefield, target creature gets +X/+X until end of turn, where X is the number of creature cards in your graveyard."
"Gwenna, Eyes of Gaea",Legendary Creature — Elf Druid Scout,{2}{G},2,3,"{T}: Add two mana in any combination of colors. Spend this mana only to cast creature spells or activate abilities of a creature or creature card.
Whenever you cast a creature spell with power 5 or greater, put a +1/+1 counter on Gwenna, Eyes of Gaea and untap it."
Hoarding Recluse,Creature — Spider,{3}{G},2,3,"Reach, deathtouch
When Hoarding Recluse dies, put up to one other target card from a graveyard on the bottom of its owner's library."
Obstinate Baloth,Creature — Beast,{2}{G}{G},4,4,"When Obstinate Baloth enters the battlefield, you gain 4 life.
If a spell or ability an opponent controls causes you to discard Obstinate Baloth, put it onto the battlefield instead of putting it into your graveyard."
Perimeter Patrol,Creature — Human Soldier,{2}{G},3,3,"Whenever an artifact enters the battlefield under your control, Perimeter Patrol gets +1/+0 until end of turn."
Sarinth Steelseeker,Creature — Human Artificer Scout,{1}{G},1,2,"Whenever an artifact enters the battlefield under your control, look at the top card of your library. If it's a land card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard."
Shoot Down,Sorcery,{3}{G},,,"Exile target artifact, enchantment, or creature with flying."
Tawnos's Tinkering,Instant,{3}{G},,,"Put two +1/+1 counters on target artifact, creature, or land you control. Untap that permanent. If it isn't a creature, it becomes a 0/0 creature in addition to its other types."
Teething Wurmlet,Creature — Wurm,{G},1,1,"Teething Wurmlet has deathtouch as long as you control three or more artifacts.
Whenever an artifact enters the battlefield under your control, you gain 1 life. If this is the first time this ability has resolved this turn, put a +1/+1 counter on Teething Wurmlet."
"Titania, Voice of Gaea // Titania, Gaea Incarnate",Legendary Creature — Elemental,{1}{G}{G},3,4,"Reach
Whenever one or more land cards are put into your graveyard from anywhere, you gain 2 life.
At the beginning of your upkeep, if there are four or more land cards in your graveyard and you both own and control Titania, Voice of Gaea and a land named Argoth, Sanctum of Nature, exile them, then meld them into Titania, Gaea Incarnate."
Titania's Command,Sorcery,{4}{G}{G},,,"Choose two —
• Exile target player's graveyard. You gain 1 life for each card exiled this way.
• Search your library for up to two land cards, put them onto the battlefield tapped, then shuffle.
• Create two 2/2 green Bear creature tokens.
• Put two +1/+1 counters on each creature you control."
Tomakul Honor Guard,Creature — Human Soldier,{1}{G},3,1,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)"
Wasteful Harvest,Instant,{2}{G},,,"Mill five cards. You may put a permanent card from among the cards milled this way into your hand. (To mill a card, put the top card of your library into your graveyard.)"
Boulderbranch Golem,Artifact Creature — Golem,{7},6,5,"Prototype {3}{G} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
When Boulderbranch Golem enters the battlefield, you gain life equal to its power."
Cradle Clearcutter,Artifact Creature — Golem,{6},3,6,"Prototype {2}{G} — 1/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
{T}: Add an amount of {G} equal to Cradle Clearcutter's power."
Haywire Mite,Artifact Creature — Insect,{1},1,1,"When Haywire Mite dies, you gain 2 life.
{G}, Sacrifice Haywire Mite: Exile target noncreature artifact or noncreature enchantment."
A-Haywire Mite,Artifact Creature — Insect,{1},1,2,"When Haywire Mite dies, you gain 3 life.
{G}, Sacrifice Haywire Mite: Exile target noncreature artifact or noncreature enchantment."
Iron-Craw Crusher,Artifact Creature — Wurm,{7},4,6,"Prototype {2}{G}{G} — 2/5 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Whenever Iron-Craw Crusher attacks, target attacking creature gets +X/+0 until end of turn, where X is Iron-Craw Crusher's power."
Mask of the Jadecrafter,Artifact,{2},,,"{X}, {T}, Sacrifice Mask of the Jadecrafter: Create an X/X colorless Golem artifact creature token. Activate only as a sorcery.
Unearth {2}{G} ({2}{G}: Return this card from your graveyard to the battlefield. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Perennial Behemoth,Artifact Creature — Beast,{5},2,7,"You may play lands from your graveyard.
Unearth {G}{G} ({G}{G}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Rootwire Amalgam,Artifact Creature — Golem,{5},5,5,"Prototype {1}{G} — 2/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
{3}{G}{G}, Sacrifice Rootwire Amalgam: Create an X/X colorless Golem artifact creature token, where X is three times Rootwire Amalgam's power. It gains haste until end of turn. Activate only as a sorcery."
Rust Goliath,Artifact Creature — Construct,{10},10,10,"Prototype {3}{G}{G} — 3/5 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Reach, trample"
Simian Simulacrum,Artifact Creature — Ape,{3},2,1,"When Simian Simulacrum enters the battlefield, put two +1/+1 counters on target creature you control.
Unearth {2}{G}{G} ({2}{G}{G}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Arbalest Engineers,Creature — Human Artificer,{1}{R}{G},2,2,"When Arbalest Engineers enters the battlefield, choose one —
• Arbalest Engineers deals 1 damage to any target.
• Put a +1/+1 counter on target creature. It gains trample and haste until end of turn.
• Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Battery Bearer,Creature — Human Artificer,{2}{G}{U},3,4,"Creatures you control have ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.""
Whenever you cast an artifact spell with mana value 6 or greater, draw a card."
Deathbloom Ritualist,Creature — Elf Warlock,{3}{B}{G},3,5,"{T}: Add X mana of any one color, where X is the number of creature cards in your graveyard."
Evangel of Synthesis,Creature — Phyrexian Human Cleric,{U}{B},2,3,"When Evangel of Synthesis enters the battlefield, draw a card, then discard a card.
As long as you've drawn two or more cards this turn, Evangel of Synthesis gets +1/+0 and has menace."
Fallaji Vanguard,Creature — Human Soldier,{2}{R}{W},2,3,"First strike
Whenever Fallaji Vanguard or another creature enters the battlefield under your control, target creature gets +2/+0 until end of turn."
"Hajar, Loyal Bodyguard",Legendary Creature — Human Soldier,{R}{G},3,3,"Sacrifice Hajar, Loyal Bodyguard: Legendary creatures you control get +1/+0 and gain indestructible until end of turn."
"Harbin, Vanguard Aviator",Legendary Creature — Human Soldier,{W}{U},3,2,"Flying
Whenever you attack with five or more Soldiers, creatures you control get +1/+1 and gain flying until end of turn."
Hero of the Dunes,Creature — Human Soldier,{3}{W}{B},3,2,"When Hero of the Dunes enters the battlefield, return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield.
Creatures you control with mana value 3 or less get +1/+0."
Junkyard Genius,Creature — Human Artificer,{1}{B}{R},2,2,"When Junkyard Genius enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")
{1}{B}{R}, Sacrifice another creature or artifact: Until end of turn, other creatures you control get +1/+0 and gain menace and haste."
Legions to Ashes,Sorcery,{1}{W}{B},,,Exile target nonland permanent an opponent controls and all tokens that player controls with the same name as that permanent.
"Mishra, Claimed by Gix // Mishra, Lost to Phyrexia",Legendary Creature — Phyrexian Human Artificer,{2}{B}{R},3,5,"Whenever you attack, each opponent loses X life and you gain X life, where X is the number of attacking creatures. If Mishra, Claimed by Gix and a creature named Phyrexian Dragon Engine are attacking, and you both own and control them, exile them, then meld them into Mishra, Lost to Phyrexia. It enters the battlefield tapped and attacking."
"Mishra, Tamer of Mak Fawa",Legendary Creature — Human Artificer,{3}{B}{R},4,4,"Permanents you control have ""Ward—Sacrifice a permanent.""
Each artifact card in your graveyard has unearth {1}{B}{R}. ({1}{B}{R}: Return the card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Queen Kayla bin-Kroog,Legendary Creature — Human Noble,{1}{R}{W},2,3,"{4}, {T}: Discard all the cards in your hand, then draw that many cards. You may choose an artifact or creature card with mana value 1 you discarded this way, then do the same for artifact or creature cards with mana values 2 and 3. Return those cards to the battlefield. Activate only as a sorcery."
"Saheeli, Filigree Master",Legendary Planeswalker — Saheeli,{2}{U}{R},,,"[+1]: Scry 1. You may tap an untapped artifact you control. If you do, draw a card.
[−2]: Create two 1/1 colorless Thopter artifact creature tokens with flying. They gain haste until end of turn.
[−4]: You get an emblem with ""Artifact creatures you control get +1/+1"" and ""Artifact spells you cast cost {1} less to cast."""
Sarinth Greatwurm,Creature — Wurm,{4}{R}{G},7,6,"Trample
Whenever a land enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Skyfisher Spider,Creature — Spider,{2}{B}{G},3,3,"Reach
When Skyfisher Spider enters the battlefield, you may sacrifice another creature. When you do, destroy target nonland permanent.
When Skyfisher Spider dies, you may gain 1 life for each creature card in your graveyard. If you do, exile Skyfisher Spider from your graveyard."
"Tawnos, the Toymaker",Legendary Creature — Human Artificer,{3}{G}{U},3,5,"Whenever you cast a Beast or Bird creature spell, you may copy it, except the copy is an artifact in addition to its other types. (The copy becomes a token.)"
Third Path Iconoclast,Creature — Human Monk,{U}{R},2,1,"Whenever you cast a noncreature spell, create a 1/1 colorless Soldier artifact creature token."
"Tocasia, Dig Site Mentor",Legendary Creature — Human Artificer,{1}{G}{W}{U},4,3,"Creatures you control have vigilance and ""{T}: Surveil 1."" (To surveil 1, look at the top card of your library. You may put that card into your graveyard.)
{2}{G}{G}{W}{W}{U}{U}, Exile Tocasia, Dig Site Mentor from your graveyard: Return any number of target artifact cards with total mana value 10 or less from your graveyard to the battlefield. Activate only as a sorcery."
"Urza, Lord Protector // Urza, Planeswalker",Legendary Creature — Human Artificer,{1}{W}{U},2,4,"Artifact, instant, and sorcery spells you cast cost {1} less to cast.
{7}: If you both own and control Urza, Lord Protector and an artifact named The Mightstone and Weakstone, exile them, then meld them into Urza, Planeswalker. Activate only as a sorcery."
"Urza, Prince of Kroog",Legendary Creature — Human Artificer,{2}{W}{U},2,3,"Artifact creatures you control get +2/+2.
{6}: Create a token that's a copy of target artifact you control, except it's a 1/1 Soldier creature in addition to its other types."
Yotian Dissident,Creature — Human Artificer,{G}{W},1,1,"Whenever an artifact enters the battlefield under your control, put a +1/+1 counter on target creature you control."
Yotian Tactician,Creature — Human Soldier,{2}{W}{U},3,4,Other Soldiers you control get +1/+1.
Bladecoil Serpent,Artifact Creature — Serpent,{X}{6},5,4,"When Bladecoil Serpent enters the battlefield, for each {U}{U} spent to cast it, draw a card.
When Bladecoil Serpent enters the battlefield, for each {B}{B} spent to cast it, each opponent discards a card.
When Bladecoil Serpent enters the battlefield, for each {R}{R} spent to cast it, it gets +1/+0 and gains trample and haste until end of turn."
Clay Champion,Artifact Creature — Construct,{X}{4},2,2,"Clay Champion enters the battlefield with three +1/+1 counters on it for each {G}{G} spent to cast it.
When Clay Champion enters the battlefield, choose up to two other target creatures you control. For each {W}{W} spent to cast Clay Champion, put a +1/+1 counter on each of them."
Aeronaut's Wings,Artifact — Equipment,{2},,,"Equipped creature gets +1/+0 and has flying.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Argivian Avenger,Artifact Creature — Shapeshifter,{6},5,5,"{1}: Until end of turn, Argivian Avenger gets -1/-1 and gains your choice of flying, vigilance, deathtouch, or haste."
Cityscape Leveler,Artifact Creature — Construct,{8},8,8,"Trample
When you cast this spell and whenever Cityscape Leveler attacks, destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token.
Unearth {8}"
Energy Refractor,Artifact,{2},,,"When Energy Refractor enters the battlefield, draw a card.
{2}: Add one mana of any color."
Goblin Firebomb,Artifact,{1},,,"Flash
{7}, {T}, Sacrifice Goblin Firebomb: Destroy target permanent."
Levitating Statue,Artifact,{2},,,"Flying
Whenever you cast a noncreature spell, put a +1/+1 counter on Levitating Statue.
{2}: Levitating Statue becomes a 1/1 Construct artifact creature until end of turn."
"Liberator, Urza's Battlethopter",Legendary Artifact Creature — Thopter,{3},1,2,"Flash
Flying
You may cast colorless spells and artifact spells as though they had flash.
Whenever you cast a spell, if the amount of mana spent to cast that spell is greater than Liberator, Urza's Battlethopter's power, put a +1/+1 counter on Liberator."
"The Mightstone and Weakstone // Urza, Planeswalker",Legendary Artifact — Powerstone,{5},,,"When The Mightstone and Weakstone enters the battlefield, choose one —
• Draw two cards.
• Target creature gets -5/-5 until end of turn.
{T}: Add {C}{C}. This mana can't be spent to cast nonartifact spells.
(Melds with Urza, Lord Protector.)"
"Urza, Planeswalker",Legendary Planeswalker — Urza,,,,"You may activate the loyalty abilities of Urza, Planeswalker twice each turn rather than only once.
[+2]: Artifact, instant, and sorcery spells you cast this turn cost {2} less to cast. You gain 2 life.
[+1]: Draw two cards, then discard a card.
[0]: Create two 1/1 colorless Soldier artifact creature tokens.
[−3]: Exile target nonland permanent.
[−10]: Artifacts and planeswalkers you control gain indestructible until end of turn. Destroy all nonland permanents."
Mine Worker,Artifact Creature — Assembly-Worker,{2},2,1,"{T}: You gain 1 life. If you control creatures named Power Plant Worker and Tower Worker, you gain 3 life instead."
Portal to Phyrexia,Artifact,{9},,,"When Portal to Phyrexia enters the battlefield, each opponent sacrifices three creatures.
At the beginning of your upkeep, put target creature card from a graveyard onto the battlefield under your control. It's a Phyrexian in addition to its other types."
Power Plant Worker,Artifact Creature — Assembly-Worker,{5},4,4,"{3}: Power Plant Worker gets +2/+2 until end of turn. If you control creatures named Mine Worker and Tower Worker, put two +1/+1 counters on Power Plant Worker instead. Activate only once each turn."
Reconstructed Thopter,Artifact Creature — Thopter,{3},2,1,"Flying
Unearth {2} ({2}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Slagstone Refinery,Artifact,{4},,,"Whenever Slagstone Refinery or another nontoken artifact you control is put into a graveyard from the battlefield or is put into exile from the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Spectrum Sentinel,Artifact Creature — Soldier,{1},1,2,"Protection from multicolored (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything multicolored.)
Whenever a nonbasic land enters the battlefield under an opponent's control, you gain 1 life."
The Stasis Coffin,Legendary Artifact,{3},,,"{2}, {T}, Exile The Stasis Coffin: You gain protection from everything until your next turn."
Steel Exemplar,Artifact Creature — Wizard,{5},4,4,"Trample
Steel Exemplar enters the battlefield with two +1/+1 counters on it unless two or more colors of mana were spent to cast it."
The Stone Brain,Legendary Artifact,{2},,,"{2}, {T}, Exile The Stone Brain: Choose a card name. Search target opponent's graveyard, hand, and library for up to four cards with that name and exile them. That player shuffles, then draws a card for each card exiled from their hand this way. Activate only as a sorcery."
Stone Retrieval Unit,Artifact Creature — Construct,{4},2,3,"When Stone Retrieval Unit enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Su-Chi Cave Guard,Artifact Creature — Construct,{8},8,8,"Vigilance
Ward {4} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {4}.)
When Su-Chi Cave Guard dies, add eight {C}. Until end of turn, you don't lose this mana as steps and phases end."
Supply Drop,Artifact,{3},,,"Flash
When Supply Drop enters the battlefield, target creature you control gets +2/+2 until end of turn.
{4}, {T}, Sacrifice Supply Drop: Draw a card."
Swiftgear Drake,Artifact Creature — Drake,{5},2,4,"Flying, haste
When Swiftgear Drake enters the battlefield, put up to one target card from a graveyard on the bottom of its owner's library."
Symmetry Matrix,Artifact,{4},,,"Whenever a creature with power equal to its toughness enters the battlefield under your control, you may pay {1}. If you do, draw a card."
Thran Power Suit,Artifact — Equipment,{2},,,"Equipped creature gets +1/+1 for each Aura and Equipment attached to it and has ward {2}. (Whenever equipped creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Thran Spider,Artifact Creature — Spider,{3},2,4,"Reach
When Thran Spider enters the battlefield, you and target opponent each create a tapped Powerstone token.
{7}: Look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Tower Worker,Artifact Creature — Assembly-Worker,{3},1,3,"Reach
{T}: Add {C}. If you control creatures named Mine Worker and Power Plant Worker, add {C}{C}{C} instead."
"Argoth, Sanctum of Nature // Titania, Gaea Incarnate",Land,,,,"Argoth, Sanctum of Nature enters the battlefield tapped unless you control a legendary green creature.
{T}: Add {G}.
{2}{G}{G}, {T}: Create a 2/2 green Bear creature token, then mill three cards. Activate only as a sorcery.
(Melds with Titania, Voice of Gaea.)"
"Titania, Gaea Incarnate",Legendary Creature — Elemental Avatar,,*,*,"Vigilance, reach, trample, haste
Titania, Gaea Incarnate's power and toughness are each equal to the number of lands you control.
When Titania enters the battlefield, return all land cards from your graveyard to the battlefield tapped.
{3}{G}: Put four +1/+1 counters on target land you control. It becomes a 0/0 Elemental creature with haste. It's still a land."
Battlefield Forge,Land,,,,"{T}: Add {C}.
{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you."
Blast Zone,Land,,,,"Blast Zone enters the battlefield with a charge counter on it.
{T}: Add {C}.
{X}{X}, {T}: Put X charge counters on Blast Zone.
{3}, {T}, Sacrifice Blast Zone: Destroy each nonland permanent with mana value equal to the number of charge counters on Blast Zone."
Brushland,Land,,,,"{T}: Add {C}.
{T}: Add {G} or {W}. Brushland deals 1 damage to you."
Demolition Field,Land,,,,"{T}: Add {C}.
{2}, {T}, Sacrifice Demolition Field: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle."
Evolving Wilds,Land,,,,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Fortified Beachhead,Land,,,,"As Fortified Beachhead enters the battlefield, you may reveal a Soldier card from your hand. Fortified Beachhead enters the battlefield tapped unless you revealed a Soldier card this way or you control a Soldier.
{T}: Add {W} or {U}.
{5}, {T}: Soldiers you control get +1/+1 until end of turn."
Hall of Tagsin,Land,,,,"{T}: Add {C}.
{1}, {T}: Add one mana of any color.
{4}, {T}: Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
Llanowar Wastes,Land,,,,"{T}: Add {C}.
{T}: Add {B} or {G}. Llanowar Wastes deals 1 damage to you."
Mishra's Foundry,Land,,,,"{T}: Add {C}.
{2}: Mishra's Foundry becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.
{1}, {T}: Target attacking Assembly-Worker gets +2/+2 until end of turn."
Tocasia's Dig Site,Land,,,,"{T}: Add {C}.
{3}, {T}: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)"
Underground River,Land,,,,"{T}: Add {C}.
{T}: Add {U} or {B}. Underground River deals 1 damage to you."
Plains,Basic Land — Plains,,,,({T}: Add {W}.)
Plains,Basic Land — Plains,,,,({T}: Add {W}.)
Island,Basic Land — Island,,,,({T}: Add {U}.)
Island,Basic Land — Island,,,,({T}: Add {U}.)
Swamp,Basic Land — Swamp,,,,({T}: Add {B}.)
Swamp,Basic Land — Swamp,,,,({T}: Add {B}.)
Mountain,Basic Land — Mountain,,,,({T}: Add {R}.)
Mountain,Basic Land — Mountain,,,,({T}: Add {R}.)
Forest,Basic Land — Forest,,,,({T}: Add {G}.)
Forest,Basic Land — Forest,,,,({T}: Add {G}.)
Plains,Basic Land — Plains,,,,({T}: Add {W}.)
Plains,Basic Land — Plains,,,,({T}: Add {W}.)
Island,Basic Land — Island,,,,({T}: Add {U}.)
Island,Basic Land — Island,,,,({T}: Add {U}.)
Swamp,Basic Land — Swamp,,,,({T}: Add {B}.)
Swamp,Basic Land — Swamp,,,,({T}: Add {B}.)
Mountain,Basic Land — Mountain,,,,({T}: Add {R}.)
Mountain,Basic Land — Mountain,,,,({T}: Add {R}.)
Forest,Basic Land — Forest,,,,({T}: Add {G}.)
Forest,Basic Land — Forest,,,,({T}: Add {G}.)
Rescue Retriever,Creature — Dog Soldier,{3}{W}{W},3,3,"Flash
When Rescue Retriever enters the battlefield, put a +1/+1 counter on each other Soldier you control.
Prevent all damage that would be dealt to other attacking Soldiers you control."
Geology Enthusiast,Creature — Human Artificer,{3}{U}{U},2,5,"At the beginning of your end step, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")
{6}: Draw a card and put a +1/+1 counter on Geology Enthusiast."
Terror Ballista,Artifact Creature — Construct,{7},5,3,"Menace
Whenever Terror Ballista attacks, you may sacrifice another creature. When you do, destroy target creature an opponent controls.
Unearth {3}{B}{B} ({3}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Artificer's Dragon,Artifact Creature — Dragon,{6},4,4,"Flying
{R}: Artifact creatures you control get +1/+0 until end of turn.
Unearth {3}{R}{R} ({3}{R}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
